"Jour	Type	Clics	Impressions	CTR	CPC.moy.	Co?t	Position.moy.	Clics.convertis	Co?t.clic.converti	Taux.de.conversion.des.clics	Conv..apr?s.affichage	Valeur.de.conv..totale"
"01/09/2012	Generic	12	3685	0,003256445	0,390833333	4,69	24	0	0	0	1	0"
"02/09/2012	Generic	7	4870	0,001437372	0,377142857	2,64	24	0	0	0	1	0"
"03/09/2012	Generic	4	3894	0,001027221	0,2875	1,15	24	0	0	0	1	0"
"04/09/2012	Generic	8	3376	0,002369668	0,36875	2,95	24	0	0	0	1	0"
"05/09/2012	Generic	8	3017	0,002651641	0,40375	3,23	24	0	0	0	1	0"
"06/09/2012	Generic	188	31075	0,006049879	0,578989362	108,85	414,8	0	0	0	0	0"
"07/09/2012	Generic	194	28618	0,00677895	0,584639175	113,42	792,2	0	0	0	1	0"
"08/09/2012	Generic	190	24850	0,007645875	0,573842105	109,03	899,2	1	109,03	0,005263158	1	86,95"
"09/09/2012	Generic	202	29846	0,006768076	0,571386139	115,42	815,5	0	0	0	3	0"
"10/09/2012	Generic	205	30111	0,006808143	0,598097561	122,61	839,4	0	0	0	2	0"
"11/09/2012	Generic	198	33616	0,005890052	0,607929293	120,37	952,5	0	0	0	6	0"
"12/09/2012	Generic	186	37548	0,004953659	0,655591398	121,94	850	0	0	0	2	0"
"13/09/2012	Generic	184	27290	0,006742396	0,637282609	117,26	921,6	0	0	0	1	0"
"14/09/2012	Generic	184	30420	0,006048652	0,650380435	119,67	914,9	1	119,67	0,005434783	2	94,95"
"15/09/2012	Generic	184	37197	0,004946635	0,633913043	116,64	916,1	1	116,64	0,005434783	3	49,95"
"16/09/2012	Generic	182	29200	0,006232877	0,651813187	118,63	816,2	0	0	0	3	0"
"17/09/2012	Generic	179	32023	0,005589732	0,649664804	116,29	812,2	0	0	0	2	0"
"18/09/2012	Generic	531	90038	0,00589751	0,65920904	350,04	932	0	0	0	3	0"
"19/09/2012	Generic	385	38645	0,009962479	0,671012987	258,34	934	0	0	0	1	0"
"20/09/2012	Generic	372	25142	0,014795959	0,681236559	253,42	844,2	0	0	0	5	0"
"21/09/2012	Generic	353	24386	0,014475519	0,684362606	241,58	946	0	0	0	2	0"
"22/09/2012	Generic	350	22614	0,015477138	0,679685714	237,89	922,6	1	237,89	0,002857143	4	121,45"
"23/09/2012	Generic	386	25879	0,014915569	0,638341969	246,4	926,5	0	0	0	1	0"
"24/09/2012	Generic	388	23144	0,016764604	0,667835052	259,12	839	0	0	0	5	0"
"25/09/2012	Generic	378	23188	0,016301535	0,669365079	253,02	891,4	2	126,51	0,005291005	3	122,4"
"26/09/2012	Generic	379	22052	0,01718665	0,658707124	249,65	839,3	1	249,65	0,002638522	4	73,95"
"27/09/2012	Generic	359	21896	0,016395689	0,687075209	246,66	918,6	0	0	0	3	0"
"28/09/2012	Generic	54	3141	0,017191977	0,720740741	38,92	356,7	0	0	0	0	0"
"29/09/2012	Generic	0	9	0	0	0	4	0	0	0	0	0"
"30/09/2012	Generic	0	16	0	0	0	4	0	0	0	0	0"
"01/10/2012	Generic	360	64918	0,005545457	0,690944444	248,74	585,7	2	124,37	0,005555556	6	102,95"
"02/10/2012	Generic	387	33912	0,01141189	0,662170543	256,26	1005,1	1	256,26	0,002583979	7	65,95"
"03/10/2012	Generic	361	34919	0,010338211	0,681578947	246,05	937,4	0	0	0	8	0"
"04/10/2012	Generic	259	19841	0,013053778	0,628957529	162,9	755,4	0	0	0	5	0"
"05/10/2012	Generic	62	13123	0,004724529	0,542258065	33,62	654,6	1	33,62	0,016129032	3	27,45"
"06/10/2012	Generic	64	11218	0,005705117	0,54515625	34,89	546	0	0	0	0	0"
"07/10/2012	Generic	70	15946	0,004389816	0,537857143	37,65	578,8	0	0	0	8	0"
"08/10/2012	Generic	66	14976	0,004407051	0,56969697	37,6	633,9	0	0	0	2	0"
