"Jour	Type	Clics	Impressions	CTR	CPC.moy.	Co?t	Position.moy.	Clics.convertis	Co?t.clic.converti	Taux.de.conversion.des.clics	Conv..apr?s.affichage	Valeur.de.conv..totale"
"20/08/2014	Brand	175	833	0,210084034	0,453314286	79,33	57,2	6	13,22166667	0,034285714	0	1135,35"
"21/08/2014	Brand	172	814	0,211302211	0,502732558	86,47	53,8	12	7,205833333	0,069767442	0	1167,75"
"22/08/2014	Brand	163	694	0,234870317	0,409570552	66,76	52,3	7	9,537142857	0,042944785	0	1083,75"
"23/08/2014	Brand	140	869	0,161104718	0,474071429	66,37	61	6	11,06166667	0,042857143	0	828,65"
"24/08/2014	Brand	153	762	0,200787402	0,442875817	67,76	42,8	7	9,68	0,045751634	0	1260,45"
"25/08/2014	Brand	156	1313	0,118811881	0,459358974	71,66	71,5	3	23,88666667	0,019230769	0	459,85"
"26/08/2014	Brand	202	985	0,205076142	0,413366337	83,5	57,6	11	7,590909091	0,054455446	0	1143,25"
"27/08/2014	Brand	179	1151	0,155516942	0,432067039	77,34	58,9	10	7,734	0,055865922	0	983,03"
"28/08/2014	Brand	226	1376	0,164244186	0,401548673	90,75	51	11	8,25	0,048672566	0	2411,2"
"29/08/2014	Brand	217	1130	0,192035398	0,396774194	86,1	61,5	12	7,175	0,055299539	0	1194,8"
"30/08/2014	Brand	216	1328	0,162650602	0,376712963	81,37	40,8	8	10,17125	0,037037037	0	1089,2"
"31/08/2014	Brand	213	1271	0,167584579	0,367464789	78,27	96,8	12	6,5225	0,056338028	0	1211,15"
"01/09/2014	Brand	256	1506	0,16998672	0,372734375	95,42	82,4	9	10,60222222	0,03515625	0	821,65"
"02/09/2014	Brand	250	1240	0,201612903	0,42324	105,81	88,9	13	8,139230769	0,052	0	1517,9"
"03/09/2014	Brand	318	1798	0,176863181	0,370471698	117,81	85,8	20	5,8905	0,062893082	0	4406,58"
"04/09/2014	Brand	336	1676	0,200477327	0,359613095	120,83	79,5	15	8,055333333	0,044642857	0	1685,75"
"05/09/2014	Brand	335	1633	0,205143907	0,363850746	121,89	78	6	20,315	0,017910448	0	544,25"
"06/09/2014	Brand	306	2221	0,137775777	0,383496732	117,35	76,6	15	7,823333333	0,049019608	0	1658,92"
"07/09/2014	Brand	347	1720	0,201744186	0,347694524	120,65	86,3	18	6,702777778	0,051873199	0	1775,8"
"08/09/2014	Brand	362	1757	0,206033011	0,349254144	126,43	87,6	16	7,901875	0,044198895	0	1484,38"
"09/09/2014	Brand	352	1645	0,213981763	0,353068182	124,28	81,8	12	10,35666667	0,034090909	0	1719,85"
"10/09/2014	Brand	350	1561	0,224215247	0,335828571	117,54	74,7	12	9,795	0,034285714	0	1835,7"
"11/09/2014	Brand	332	1823	0,182117389	0,352018072	116,87	79,1	10	11,687	0,030120482	0	965,35"
"12/09/2014	Brand	342	1843	0,18556701	0,366345029	125,29	77,2	7	17,89857143	0,020467836	0	802,42"
"13/09/2014	Brand	356	1926	0,184839045	0,339269663	120,78	72,8	16	7,54875	0,04494382	0	1806,47"
"14/09/2014	Brand	357	1994	0,179037111	0,341932773	122,07	82,1	13	9,39	0,036414566	0	1459,25"
"15/09/2014	Brand	355	1846	0,192307692	0,362535211	128,7	77,9	13	9,9	0,036619718	0	1188"
"16/09/2014	Brand	330	1951	0,169144029	0,383757576	126,64	74,6	15	8,442666667	0,045454545	0	1464"
"17/09/2014	Brand	352	1755	0,200569801	0,361079545	127,1	80,2	11	11,55454545	0,03125	0	1051,42"
"18/09/2014	Brand	299	1622	0,184340321	0,403444816	120,63	76,7	11	10,96636364	0,036789298	0	985,25"
"19/09/2014	Brand	299	1715	0,174344023	0,403979933	120,79	72,9	7	17,25571429	0,023411371	0	953"
"20/09/2014	Brand	307	2026	0,151530109	0,399348534	122,6	90,3	13	9,430769231	0,042345277	0	1472,08"
"21/09/2014	Brand	319	1781	0,179112858	0,405329154	129,3	91,5	20	6,465	0,062695925	0	3135,07"
"22/09/2014	Brand	349	1888	0,184851695	0,363724928	126,94	72,4	19	6,681052632	0,054441261	0	2863,5"
